"","D4_Feces_515F_806R_01","D4_Feces_515F_806R_02","D4_Feces_515F_806R_03","D4_Feces_515F_806R_04","D4_Feces_tr515F_806R_01","D4_Feces_tr515F_806R_02","D4_Feces_tr515F_806R_03","D4_Feces_tr515F_806R_04","D4_Feces_V1-tr515F_806R_01","D4_Feces_V1-tr515F_806R_02","D4_Feces_V1-tr515F_806R_03","D4_Feces_V1-tr515F_806R_04","D4_Feces_V2-tr515F_806R_01","D4_Feces_V2-tr515F_806R_02","D4_Feces_V2-tr515F_806R_03","D4_Feces_V2-tr515F_806R_04","D4_Feces_V3-tr515F_806R_01","D4_Feces_V3-tr515F_806R_02","D4_Feces_V3-tr515F_806R_03","D4_Feces_V3-tr515F_806R_04","D4_Feces_V4-tr515F_806R_01","D4_Feces_V4-tr515F_806R_02","D4_Feces_V4-tr515F_806R_03","D4_Feces_V4-tr515F_806R_04","D4_Feces_V5-tr515F_806R_01","D4_Feces_V5-tr515F_806R_02","D4_Feces_V5-tr515F_806R_03","D4_Feces_V5-tr515F_806R_04","D4_Feces_V6-tr515F_806R_01","D4_Feces_V6-tr515F_806R_02","D4_Feces_V6-tr515F_806R_03","D4_Feces_V6-tr515F_806R_04","D4_Feces_V7-tr515F_806R_01","D4_Feces_V7-tr515F_806R_02","D4_Feces_V7-tr515F_806R_03","D4_Feces_V7-tr515F_806R_04","D4_Feces_V8-tr515F_806R_01","D4_Feces_V8-tr515F_806R_02","D4_Feces_V8-tr515F_806R_03","D4_Feces_V8-tr515F_806R_04","D6_Skin_515F_806R_01","D6_Skin_515F_806R_02","D6_Skin_515F_806R_03","D6_Skin_515F_806R_04","D6_Skin_tr515F_806R_01","D6_Skin_tr515F_806R_02","D6_Skin_tr515F_806R_03","D6_Skin_tr515F_806R_04","D6_Skin_V1-tr515F_806R_01","D6_Skin_V1-tr515F_806R_02","D6_Skin_V1-tr515F_806R_03","D6_Skin_V1-tr515F_806R_04","D6_Skin_V2-tr515F_806R_01","D6_Skin_V2-tr515F_806R_02","D6_Skin_V2-tr515F_806R_03","D6_Skin_V2-tr515F_806R_04","D6_Skin_V3-tr515F_806R_01","D6_Skin_V3-tr515F_806R_02","D6_Skin_V3-tr515F_806R_03","D6_Skin_V4-tr515F_806R_01","D6_Skin_V4-tr515F_806R_02","D6_Skin_V4-tr515F_806R_03","D6_Skin_V4-tr515F_806R_04","D6_Skin_V5-tr515F_806R_01","D6_Skin_V5-tr515F_806R_02","D6_Skin_V5-tr515F_806R_03","D6_Skin_V5-tr515F_806R_04","D6_Skin_V6-tr515F_806R_01","D6_Skin_V6-tr515F_806R_02","D6_Skin_V6-tr515F_806R_03","D6_Skin_V6-tr515F_806R_04","D6_Skin_V7-tr515F_806R_01","D6_Skin_V7-tr515F_806R_02","D6_Skin_V7-tr515F_806R_03","D6_Skin_V7-tr515F_806R_04","D6_Skin_V8-tr515F_806R_01","D6_Skin_V8-tr515F_806R_02","D6_Skin_V8-tr515F_806R_03","D6_Skin_V8-tr515F_806R_04","D7_Soil_515F_806R_01","D7_Soil_515F_806R_02","D7_Soil_515F_806R_03","D7_Soil_515F_806R_04","D7_Soil_tr515F_806R_01","D7_Soil_tr515F_806R_02","D7_Soil_tr515F_806R_03","D7_Soil_tr515F_806R_04","D7_Soil_V1-tr515F_806R_01","D7_Soil_V1-tr515F_806R_02","D7_Soil_V1-tr515F_806R_03","D7_Soil_V1-tr515F_806R_04","D7_Soil_V2-tr515F_806R_01","D7_Soil_V2-tr515F_806R_02","D7_Soil_V2-tr515F_806R_03","D7_Soil_V2-tr515F_806R_04","D7_Soil_V3-tr515F_806R_01","D7_Soil_V3-tr515F_806R_02","D7_Soil_V3-tr515F_806R_03","D7_Soil_V3-tr515F_806R_04","D7_Soil_V4-tr515F_806R_01","D7_Soil_V4-tr515F_806R_02","D7_Soil_V4-tr515F_806R_03","D7_Soil_V5-tr515F_806R_01","D7_Soil_V5-tr515F_806R_02","D7_Soil_V5-tr515F_806R_03","D7_Soil_V5-tr515F_806R_04","D7_Soil_V6-tr515F_806R_01","D7_Soil_V6-tr515F_806R_02","D7_Soil_V6-tr515F_806R_03","D7_Soil_V6-tr515F_806R_04","D7_Soil_V7-tr515F_806R_01","D7_Soil_V7-tr515F_806R_02","D7_Soil_V7-tr515F_806R_03","D7_Soil_V7-tr515F_806R_04","D7_Soil_V8-tr515F_806R_01","D7_Soil_V8-tr515F_806R_02","D7_Soil_V8-tr515F_806R_03","D7_Soil_V8-tr515F_806R_04","D5_Wastewater_515F_806R_01","D5_Wastewater_515F_806R_02","D5_Wastewater_515F_806R_03","D5_Wastewater_515F_806R_04","D5_Wastewater_tr515F_806R_01","D5_Wastewater_tr515F_806R_02","D5_Wastewater_tr515F_806R_03","D5_Wastewater_tr515F_806R_04","D5_Wastewater_V1-tr515F_806R_01","D5_Wastewater_V1-tr515F_806R_02","D5_Wastewater_V1-tr515F_806R_03","D5_Wastewater_V1-tr515F_806R_04","D5_Wastewater_V2-tr515F_806R_01","D5_Wastewater_V2-tr515F_806R_02","D5_Wastewater_V2-tr515F_806R_03","D5_Wastewater_V2-tr515F_806R_04","D5_Wastewater_V3-tr515F_806R_01","D5_Wastewater_V3-tr515F_806R_02","D5_Wastewater_V3-tr515F_806R_04","D5_Wastewater_V4-tr515F_806R_01","D5_Wastewater_V4-tr515F_806R_02","D5_Wastewater_V4-tr515F_806R_03","D5_Wastewater_V4-tr515F_806R_04","D5_Wastewater_V5-tr515F_806R_01","D5_Wastewater_V5-tr515F_806R_02","D5_Wastewater_V5-tr515F_806R_03","D5_Wastewater_V5-tr515F_806R_04","D5_Wastewater_V6-tr515F_806R_02","D5_Wastewater_V6-tr515F_806R_03","D5_Wastewater_V6-tr515F_806R_04","D5_Wastewater_V7-tr515F_806R_01","D5_Wastewater_V7-tr515F_806R_02","D5_Wastewater_V7-tr515F_806R_03","D5_Wastewater_V8-tr515F_806R_01","D5_Wastewater_V8-tr515F_806R_02","D5_Wastewater_V8-tr515F_806R_03","D5_Wastewater_V8-tr515F_806R_04"
"d__Bacteria;p__Planctomycetota;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,17,9,2,9,5,2,0,26,61,20,13,13,8,7,0,0,0,2,6,9,1,4,9,1,16,23,2,2,0,7,4,17,20,0,18,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6231,5895,6198,6168,4979,5506,5778,5800,1434,1546,1883,2417,5431,5067,5229,4716,641,799,977,829,5923,5622,5581,5936,6034,6192,6199,3243,3214,3181,3086,6228,6575,6531,6667,3539,3468,3895,3416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,67,74,117,65,76,62,0,14,0,77,67,102,41,36,34,27,6,7,39,36,63,64,56,47,67,16,61,43,58,71,34,64,43,90,101,38,38,14,19,15,21,20,16,12,7,0,0,0,47,28,17,19,9,43,20,18,16,15,14,10,10,20,6,14,29,32,25,26,10,21,6,1,7,20
"d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,376,333,320,354,342,318,236,228,454,152,216,353,318,300,260,54,33,71,62,265,299,293,301,330,282,305,60,125,144,107,353,249,256,308,268,384,275,389,60,67,110,70,54,45,67,67,17,100,36,4,93,71,79,82,64,23,88,60,49,112,82,80,80,77,75,124,70,34,62,84,67,82,73,75,37
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,67,83,85,51,51,85,68,14,30,54,5,77,90,46,110,2,0,0,22,81,31,55,78,65,53,87,5,30,7,21,51,71,78,41,25,67,71,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,10,4,2,9,2,0,0,0,2,6,6,1,8,0,0,3,0,3,4,3,7,7,2,11,2,6,0,7,4,6,4,3,0,5,6,2,0,13,5,4,1,0,2,3,0,0,0,0,5,0,0,1,0,5,0,10,5,7,3,7,3,0,1,0,3,1,5,2,5,0,0,10,0
"d__Bacteria;p__Patescibacteria;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,43,67,50,28,61,43,44,46,0,67,46,60,47,43,50,4,7,9,0,36,50,26,80,44,46,33,25,8,19,36,23,37,31,40,42,29,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__Sumerlaeales;f__Sumerlaeaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,56,80,104,102,101,73,56,17,32,18,58,69,79,104,54,3,13,13,27,84,45,48,88,84,91,80,108,98,39,81,105,45,89,81,123,93,89,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,38,42,56,84,87,49,74,4,131,55,78,85,65,54,80,39,23,28,46,70,60,50,65,95,53,33,12,50,68,26,54,49,32,58,41,46,33,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,495,534,502,530,471,434,463,52,226,369,319,534,522,476,590,198,151,132,280,456,450,510,519,557,477,482,279,327,307,280,538,512,438,481,299,249,363,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6982,6709,6752,6939,6460,6757,6021,5805,2519,2470,2853,2829,6743,6723,6793,6715,1141,1292,1485,1654,6646,6388,6249,6994,7008,6474,6515,2648,2602,2350,2348,7366,6986,6555,6116,4474,4542,4596,4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales;f__type_III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,78,87,110,2,6,9,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,7,3,13,0,0,0,0,16,1,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,71,51,62,69,79,84,52,48,14,135,12,72,70,78,95,20,75,9,16,60,60,86,61,79,76,52,5,37,16,9,65,60,54,62,67,62,84,69,3,3,1,2,2,4,6,1,0,93,3,0,7,5,4,2,0,5,17,2,10,5,2,4,11,3,1,0,18,0,0,3,1,1,0,35,2
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,300,285,330,369,301,284,248,57,91,136,266,260,297,272,309,124,118,104,135,236,255,263,281,294,242,225,68,56,111,62,324,303,264,222,256,247,256,299,1,4,9,3,2,0,1,1,0,0,0,0,10,3,1,2,2,1,1,0,2,3,0,2,0,1,3,0,0,10,0,3,2,7,0,0,3
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5339,5338,5105,4666,4774,4595,4508,4871,2022,2199,1831,2554,5323,4941,4815,4564,778,1055,1209,1105,5224,5141,4822,4369,4860,4921,5115,937,770,684,843,4512,4546,4963,5069,3420,3216,3485,3040,6,7,10,8,10,7,7,5,6,0,0,0,2,3,7,5,0,1,22,1,8,5,2,5,10,4,9,0,0,0,7,13,6,20,1,1,0
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Blfdi19;f__Blfdi19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,33,61,4,20,46,67,0,15,72,53,15,34,29,30,25,38,16,17,40,37,57,38,28,30,34,23,12,38,25,14,31,70,26,32,33,38,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Chloroflexi;c__TK10;o__TK10;f__TK10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6821,7538,7409,7257,6233,6826,7000,6759,3718,3849,4006,4218,7553,7665,7617,7781,1710,2018,2004,2085,7183,7070,7082,6914,7144,7302,7063,4594,4526,4408,4378,7060,7082,7077,6835,4901,4626,4988,4717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,214,164,212,155,170,177,184,209,244,0,142,175,195,228,233,28,56,118,80,145,180,178,164,188,176,191,128,155,216,149,198,176,176,148,102,184,107,141,5,0,11,10,10,8,5,4,14,0,36,0,0,7,16,8,0,0,0,19,0,0,0,7,4,11,9,0,6,9,1,10,7,5,3,15,11
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__AKYG1722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,235,221,276,338,253,279,229,4,36,53,69,271,271,308,299,45,28,53,88,240,261,249,423,301,282,319,108,78,104,105,364,280,270,233,222,257,330,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Phaselicystidaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,138,169,212,61,115,145,209,137,236,151,152,139,158,126,138,55,78,58,221,200,182,157,176,144,158,162,57,64,53,48,130,137,185,215,199,121,145,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,40,76,61,74,88,71,52,0,0,20,40,67,50,81,63,31,16,10,5,87,81,70,88,90,70,101,2,18,0,35,73,85,68,98,89,92,48,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Myxococcota;c__Polyangia;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,33,41,16,17,22,28,0,5,100,0,21,44,34,63,18,62,9,0,23,37,20,33,45,44,53,18,26,39,40,21,43,32,22,14,32,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,1113,1041,885,1037,1068,1080,1103,641,825,960,797,1112,1154,1088,970,272,316,370,411,1107,1098,1065,1009,1036,1077,1093,351,352,274,275,855,992,1068,1094,835,970,761,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,320,307,301,219,255,274,244,30,22,223,256,265,235,297,230,98,49,41,149,212,287,239,264,276,300,299,28,50,76,64,259,234,312,273,190,217,259,245,42,31,29,32,27,23,36,34,10,45,8,93,13,43,32,46,50,4,18,41,25,24,20,25,32,26,44,35,106,9,26,28,34,25,22,49,20
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4493,4290,4322,4427,4092,4215,3804,3875,1758,1325,1967,1997,4255,4323,4149,4417,916,885,1233,1183,4005,4335,3880,4376,4157,4058,4117,586,776,826,1024,4108,4209,3788,4065,3175,3007,3034,3155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,684,848,946,261,603,677,882,902,622,1262,805,594,725,734,699,361,301,344,428,717,754,795,538,660,811,809,112,195,260,161,550,689,849,891,645,748,585,637,0,0,10,0,0,2,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,4,0,0,0,0,16
"d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__S0134_terrestrial_group;f__S0134_terrestrial_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,389,345,314,433,326,340,279,459,344,236,170,319,376,468,458,144,91,54,86,289,339,357,436,435,370,441,360,283,270,310,357,358,380,333,181,240,270,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylopilaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,1,6,0,6,0,0,0,4,0,3,9,0,6,0,0,0,0,0,3,7,0,0,3,5,9,0,0,2,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,90,114,75,128,148,111,102,50,6,149,0,108,109,117,106,43,71,60,39,73,101,125,102,124,112,73,65,53,87,36,115,118,57,67,37,17,31,47,6,6,22,17,26,13,15,19,26,3,0,14,17,17,21,13,8,2,0,7,28,17,14,36,5,12,20,4,22,32,20,19,15,6,30,4,7
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,37,28,6,16,36,41,9,113,54,5,14,31,20,18,8,25,61,38,36,19,33,6,12,7,24,0,8,3,0,0,15,38,55,12,16,51,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
